"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"72515","AT 2020abyi","10:53:12.907","+15:45:36.35","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20lxt","PS1 - GPC1","","1","1","","20.86","w-PS1","2020-11-22 14:58:33.600","PS1_Bot1","",""
"72514","AT 2020abyh","21:37:00.813","-12:14:41.49","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20lxr","PS1 - GPC1","","1","1","","20.7","w-PS1","2020-12-03 05:09:36.000","PS1_Bot1","",""
"72513","AT 2020abyg","02:08:09.562","+21:37:12.95","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20lxq","PS1 - GPC1","","1","1","","20.67","w-PS1","2020-11-17 10:37:55.200","PS1_Bot1","",""
"72512","AT 2020abyf","02:44:36.613","+05:10:19.77","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20lxp","PS1 - GPC1","","1","1","","20.26","w-PS1","2020-11-17 09:37:26.400","PS1_Bot1","","TESS-active sector/s (30,31);TESS-Sector31"
"72511","AT 2020abye","20:15:42.650","+02:51:47.99","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fpk","Gaia - Gaia-photometric","","1","1","","17.9","G-Gaia","2020-12-06 20:19:40.800","Gaia_Bot1","",""
"72510","AT 2020abyd","08:48:21.550","-57:21:29.50","","","","","MASTER","MASTER","","MASTER","MASTER OT J084821.55-572129.5","Other - Other","","1","1","","16.4","Clear-","2020-12-08 01:51:56.736","MASTER","",""
"72509","AT 2020abyc","20:19:13.390","+02:43:08.80","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fpj","Gaia - Gaia-photometric","","1","1","","17.09","G-Gaia","2020-12-06 20:18:14.400","Gaia_Bot1","",""
"72508","AT 2020abyb","00:08:21.122","+28:49:35.49","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20lxl","PS1 - GPC1","","1","1","","20.72","r-Sloan","2020-12-01 07:19:12.000","YSE_Bot1","",""
"72507","AT 2020abya","03:20:16.846","-03:44:32.86","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20lxn","PS1 - GPC1","","1","1","","20.93","i-Sloan","2020-12-02 09:31:40.800","YSE_Bot1","","TESS-active sector/s (30,31);TESS-Sector31"
"72506","AT 2020abxz","02:53:13.053","-05:05:25.88","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20lxj","PS1 - GPC1","","1","1","","20.17","g-Sloan","2020-08-21 14:16:48.000","YSE_Bot1","","TESS-active sector/s (30,31);TESS-Sector31"
