"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"53511","AT 2020bol","07:38:39.725","+28:39:10.25","","","","","ZTF","ZTF","","ZTF","ZTF20aakfofq","P48 - ZTF-Cam","","1","1","","19.35","g-ZTF","2020-01-31 04:41:28","ZTF_AMPEL_NEW","",""
"53510","AT 2020bok","00:08:21.394","+12:53:09.65","","","","","ZTF","ZTF","","ZTF","ZTF20aalbswe","P48 - ZTF-Cam","","1","1","","19.5","g-ZTF","2020-02-01 02:40:23","ZTF_AMPEL_NEW","",""
"53509","AT 2020boj","02:45:20.228","+42:33:24.75","","","","","ZTF","ZTF","","ZTF","ZTF20aalbgef","P48 - ZTF-Cam","","1","1","","19.84","g-ZTF","2020-02-01 02:44:23","ZTF_AMPEL_NEW","",""
"53508","AT 2020boi","04:22:01.081","+26:57:37.09","","","","","ZTF","ZTF","","ZTF","ZTF20aakivvw","P48 - ZTF-Cam","","1","1","","20.08","g-ZTF","2020-02-01 02:55:46","ZTF_AMPEL_COMPLETE","",""
"53507","AT 2020boh","16:01:32.852","+46:17:44.15","","","SDSS J160132.83+461744.3","0.11327","SGLF","ZTF","","ZTF","ZTF20aahpwyv","P48 - ZTF-Cam","","1","1","","19.805","g-ZTF","2020-01-24 10:23:59","Perez-Fournon","",""
"53506","AT 2020bog","08:51:53.458","+04:19:53.85","","","SDSS J085153.36+041954.5","0.11596","SGLF","ZTF","","ZTF","ZTF20aagwlou","P48 - ZTF-Cam","","1","1","","20.034","r-ZTF","2020-01-19 08:11:22","Perez-Fournon","",""
"53505","AT 2020bof","08:31:02.737","+29:10:18.37","","","SDSS J083102.72+291014.5","0.11964","SGLF","ZTF","","ZTF","ZTF20aakleuu","P48 - ZTF-Cam","","1","1","","21.064","g-ZTF","2020-01-28 05:35:00","Perez-Fournon","",""
"53504","AT 2020boe","14:10:33.098","+46:15:35.68","","","SDSS J141033.26+461530.4","0.13443","SGLF","ZTF","","ZTF","ZTF20aahgiry","P48 - ZTF-Cam","","1","1","","19.832","g-ZTF","2020-01-24 10:44:25","Perez-Fournon","",""
"53503","AT 2020bod","14:56:14.145","+35:29:36.17","","","SDSS J145613.69+352937.3","0.07749","SGLF","ZTF","","ZTF","ZTF20aajcaxe","P48 - ZTF-Cam","","1","1","","20.145","g-ZTF","2020-01-24 10:45:44","Perez-Fournon","",""
"53502","AT 2020boc","06:58:26.039","+14:39:47.86","","","WISEA J065826.03+143947.6","","ALeRCE","ZTF","","ZTF","ZTF18adcdcrd","P48 - ZTF-Cam","","1","1","","19.6782","g-ZTF","2020-01-31 04:52:31","ALeRCE","",""
"53501","AT 2020bob","08:57:16.493","+30:41:36.67","","","WISEA J085716.36+304136.3","0.084876","ALeRCE","ZTF","","ZTF","ZTF20aakwcfh","P48 - ZTF-Cam","","1","1","","19.9284","g-ZTF","2020-01-31 05:13:44","ALeRCE","","TESS-active sector/s (20,21);TESS-Sector21"
"53500","AT 2020boa","16:06:43.171","+27:30:47.82","","","WISEA J160643.30+273046.4","","ALeRCE","ZTF","","ZTF","ZTF20aakzdwl","P48 - ZTF-Cam","","1","1","","20.1025","g-ZTF","2020-01-31 12:26:46","ALeRCE","",""
"53499","AT 2020bnz","09:15:20.637","+49:26:37.61","","","","","ZTF","ZTF","","ZTF","ZTF20aakmffg","P48 - ZTF-Cam","","1","1","","20.1626","r-ZTF","2020-01-23 06:57:53","ZTF_CLU_PUBLIC","","TESS-active sector/s (20,21);TESS-Sector21"
"53498","AT 2020bny","10:12:12.977","+55:33:09.48","","","","","ZTF","ZTF","","ZTF","ZTF20aahdwdw","P48 - ZTF-Cam","","1","1","","19.9293","r-ZTF","2020-01-07 08:21:07","ZTF_CLU_PUBLIC","","TESS-active sector/s (20,21);TESS-Sector21"
"53497","AT 2020bnx","10:48:01.807","+40:46:16.49","","","","","ZTF","ZTF","","ZTF","ZTF20aadyati","P48 - ZTF-Cam","","1","1","","20.3655","g-ZTF","2020-01-05 12:20:52","ZTF_CLU_PUBLIC","","TESS-active sector/s (20,21);TESS-Sector21"
"53496","AT 2020bnw","09:50:43.881","+35:41:19.00","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20oc","PS1 - GPC1","","1","1","","20.29","i-Sloan","2020-01-29 11:25:26","YSE_Bot1","","TESS-active sector/s (20,21);TESS-Sector21"
